,open,high,low,close,volume,time,AVG,PV,cumPV,cumV,VWAP,EMA
163,391.19,391.28,391.15,391.2,84728,09:49:00,391.21,33146440.88,2137169102.16,5465946,391.0,391.15476115131366
164,391.19,391.25,391.06,391.1,162045,09:50:00,391.14,63382281.3,2200551383.46,5627991,391.0,391.1510708634852
165,391.1001,391.15,390.87,391.02,287472,09:51:00,391.01,112404426.72,2312955810.18,5915463,391.0,391.1158031476139
166,391.025,391.1001,390.96,391.0899,75545,09:52:00,391.05,29541872.25,2342497682.43,5991008,391.0,391.09935236071044
167,391.09,391.24,391.05,391.07,173098,09:53:00,391.12,67702089.76,2410199772.19,6164106,391.01,391.10451427053283
168,391.07,391.11,391.01,391.1,145812,09:54:00,391.07,57022698.84,2467222471.03,6309918,391.01,391.0958857028996
169,391.11,391.31,391.11,391.28,117973,09:55:00,391.23,46154576.79,2513377047.82,6427891,391.01,391.1294142771747
170,391.29,391.305,391.18,391.27,79409,09:56:00,391.25,31068771.25,2544445819.07,6507300,391.01,391.15956070788104
171,391.28,391.34,391.19,391.33,125259,09:57:00,391.29,49012594.11,2593458413.18,6632559,391.02,391.19217053091074
172,391.32,391.37,391.23,391.26,116515,09:58:00,391.29,45591154.35,2639049567.53,6749074,391.02,391.21662789818305
173,391.25,391.3,391.16,391.28,93475,09:59:00,391.25,36572093.75,2675621661.28,6842549,391.03,391.2249709236373
174,391.27,391.43,391.26,391.43,203584,10:00:00,391.37,79676670.08,2755298331.36,7046133,391.04,391.2612281927279
175,391.425,391.48,391.06,391.36,178169,10:01:00,391.3,69717529.7,2825015861.06,7224302,391.04,391.2709211445459
176,391.375,391.78,391.33,391.78,391085,10:02:00,391.63,153160618.55,2978176479.61,7615387,391.07,391.3606908584095
177,391.78,391.8,391.7,391.775,157968,10:03:00,391.76,61885543.68,3040062023.29,7773355,391.09,391.4605181438071
178,391.77,391.88,391.74,391.86,270456,10:04:00,391.83,105972774.48,3146034797.77,8043811,391.11,391.5528886078553
179,391.86,391.89,391.795,391.8,258762,10:05:00,391.83,101390714.46,3247425512.23,8302573,391.13,391.6221664558915
180,391.79,391.85,391.65,391.69,218831,10:06:00,391.73,85722667.63,3333148179.86,8521404,391.15,391.6491248419186
181,391.69,391.7,391.6,391.7,149160,10:07:00,391.67,58421497.2,3391569677.06,8670564,391.16,391.65434363143896
182,391.7,391.7,391.57,391.58,119433,10:08:00,391.62,46772351.46,3438342028.52,8789997,391.17,391.6457577235792
183,391.57,391.62,391.53,391.57,173984,10:09:00,391.57,68126914.88,3506468943.4,8963981,391.17,391.6268182926844
184,391.5691,391.65,391.382,391.45,264379,10:10:00,391.49,103501734.71,3609970678.11,9228360,391.18,391.5926137195133
185,391.45,391.64,391.45,391.625,114891,10:11:00,391.57,44987868.87,3654958546.98,9343251,391.19,391.58696028963493
186,391.63,391.68,391.55,391.58,93308,10:12:00,391.6,36539412.8,3691497959.78,9436559,391.19,391.59022021722615
187,391.58,391.62,391.5,391.58,121609,10:13:00,391.57,47618436.13,3739116395.91,9558168,391.2,391.5851651629196
188,391.6,391.7,391.56,391.6789,87266,10:14:00,391.65,34177728.9,3773294124.81,9645434,391.2,391.6013738721897
189,391.69,391.73,391.56,391.57,136110,10:15:00,391.62,53303398.2,3826597523.01,9781544,391.21,391.6060304041423
190,391.58,391.61,391.5,391.53,155428,10:16:00,391.55,60857833.4,3887455356.41,9936972,391.21,391.5920228031067
191,391.52,391.58,391.45,391.4501,154558,10:17:00,391.49,60507911.42,3947963267.83,10091530,391.22,391.56651710233
192,391.44,391.51,391.41,391.45,104453,10:18:00,391.46,40889171.38,3988852439.21,10195983,391.22,391.53988782674753
