,open,high,low,close,volume,datetime
153,391.88,392.04,391.74,392.04,187829,1616506500000
154,392.04,392.18,391.99,392.12,208134,1616506560000
155,392.14,392.16,392.0328,392.1086,115911,1616506620000
156,392.1,392.24,392.08,392.1101,146165,1616506680000
157,392.11,392.21,391.97,392.18,178286,1616506740000
158,392.18,392.185,391.9,391.95,160305,1616506800000
159,391.96,392.16,391.88,392.155,157699,1616506860000
160,392.15,392.19,392.05,392.055,84363,1616506920000
161,392.0555,392.14,391.93,392.115,149380,1616506980000
162,392.11,392.15,392.0,392.099,117740,1616507040000
163,392.1,392.22,391.97,391.99,194648,1616507100000
164,391.98,392.11,391.87,392.0846,135624,1616507160000
165,392.09,392.21,392.07,392.2,133504,1616507220000
166,392.21,392.21,391.955,392.01,133471,1616507280000
167,392.0,392.06,391.85,392.05,132252,1616507340000
168,392.05,392.06,391.95,391.95,62307,1616507400000
169,391.97,392.1,391.965,392.06,75933,1616507460000
170,392.08,392.14,391.91,392.0,222137,1616507520000
171,392.01,392.01,391.79,391.925,160547,1616507580000
172,391.9289,392.02,391.88,391.95,90240,1616507640000
173,391.96,392.09,391.93,392.04,123757,1616507700000
174,392.03,392.035,391.84,391.9119,147221,1616507760000
175,391.915,392.09,391.9,392.01,120232,1616507820000
176,391.9981,392.24,391.95,392.23,227357,1616507880000
177,392.23,392.445,392.17,392.44,310671,1616507940000
178,392.44,392.49,392.265,392.4201,213543,1616508000000
179,392.43,392.53,392.37,392.519,186144,1616508060000
180,392.5114,392.68,392.42,392.5,473593,1616508120000
181,392.497,392.6104,392.48,392.55,110332,1616508180000
182,392.5482,392.5501,392.3,392.385,114058,1616508240000
183,392.38,392.39,392.26,392.27,134734,1616508300000
184,392.26,392.47,392.24,392.45,110749,1616508360000
185,392.445,392.49,392.31,392.3411,61729,1616508420000
186,392.35,392.62,392.345,392.5813,107454,1616508480000
187,392.585,392.78,392.585,392.67,334385,1616508540000
188,392.67,392.83,392.66,392.74,123284,1616508600000
189,392.735,392.79,392.63,392.7,100750,1616508660000
190,392.7055,392.79,392.66,392.68,123453,1616508720000
191,392.69,392.763,392.62,392.75,73612,1616508780000
192,392.759,392.84,392.66,392.7219,110020,1616508840000
193,392.725,392.81,392.68,392.81,108831,1616508900000
194,392.809,392.9,392.78,392.8881,87595,1616508960000
195,392.885,393.0,392.85,392.9311,183229,1616509020000
196,392.9319,392.99,392.8901,392.96,177221,1616509080000
197,392.9799,392.9977,392.88,392.94,69381,1616509140000
198,392.95,392.99,392.795,392.795,72615,1616509200000
199,392.8,392.8,392.635,392.7,142404,1616509260000
200,392.71,392.82,392.69,392.805,85783,1616509320000
201,392.81,392.835,392.715,392.79,46168,1616509380000
202,392.78,392.895,392.775,392.89,44967,1616509440000
203,392.895,392.97,392.82,392.855,46069,1616509500000
204,392.85,392.95,392.82,392.943,36777,1616509560000
205,392.9481,392.96,392.82,392.885,41901,1616509620000
206,392.89,392.965,392.87,392.905,26547,1616509680000
207,392.9,392.9,392.665,392.675,100528,1616509740000
208,392.6842,392.76,392.52,392.64,210857,1616509800000
209,392.65,392.71,392.59,392.595,89078,1616509860000
210,392.59,392.61,392.28,392.31,205106,1616509920000
211,392.3189,392.3189,392.05,392.05,264884,1616509980000
212,392.05,392.05,391.88,391.92,396475,1616510040000
213,391.93,391.98,391.74,391.78,351925,1616510100000
214,391.78,391.86,391.7,391.73,287576,1616510160000
215,391.73,391.73,391.5419,391.58,325664,1616510220000
216,391.58,391.62,391.45,391.505,159328,1616510280000
217,391.51,391.615,391.4693,391.61,115320,1616510340000
218,391.62,391.64,391.39,391.46,146051,1616510400000
219,391.47,391.48,391.29,391.29,253193,1616510460000
220,391.28,391.52,391.24,391.3997,224311,1616510520000
221,391.38,391.57,391.37,391.5,142125,1616510580000
222,391.5,391.5699,391.41,391.52,107101,1616510640000
223,391.51,391.635,391.48,391.5815,90032,1616510700000
224,391.59,391.74,391.59,391.68,117471,1616510760000
225,391.6719,391.75,391.63,391.68,99662,1616510820000
226,391.685,391.78,391.685,391.725,73286,1616510880000
227,391.7281,391.76,391.65,391.69,85296,1616510940000
228,391.69,391.73,391.57,391.66,156805,1616511000000
229,391.66,391.73,391.6,391.7,81056,1616511060000
230,391.7,391.91,391.699,391.86,186484,1616511120000
231,391.8605,392.04,391.84,391.9843,158358,1616511180000
232,391.97,392.06,391.96,392.055,55228,1616511240000
233,392.06,392.2,392.0581,392.2,144324,1616511300000
234,392.2,392.28,392.14,392.235,139726,1616511360000
235,392.2355,392.25,392.18,392.22,214557,1616511420000
236,392.22,392.24,392.07,392.135,222867,1616511480000
237,392.17,392.35,392.12,392.3467,118845,1616511540000
238,392.35,392.38,392.27,392.311,99551,1616511600000
239,392.315,392.37,392.241,392.265,82730,1616511660000
240,392.265,392.3373,392.24,392.3,172739,1616511720000
241,392.3101,392.34,392.21,392.3,72112,1616511780000
242,392.29,392.385,392.18,392.195,93395,1616511840000
243,392.2,392.37,392.1819,392.36,61750,1616511900000
244,392.35,392.7,392.35,392.62,175317,1616511960000
245,392.625,392.8,392.625,392.76,140722,1616512020000
246,392.75,392.89,392.7075,392.885,131523,1616512080000
247,392.86,392.9,392.735,392.89,110002,1616512140000
248,392.88,392.89,392.79,392.855,81867,1616512200000
249,392.84,392.89,392.775,392.82,76009,1616512260000
250,392.82,392.98,392.815,392.98,127722,1616512320000
251,392.9701,393.18,392.96,393.115,264177,1616512380000
252,393.12,393.1519,393.03,393.075,72680,1616512440000
253,393.0701,393.15,393.02,393.028,109793,1616512500000
254,393.03,393.0681,392.93,393.0681,103404,1616512560000
255,393.07,393.29,393.03,393.25,174372,1616512620000
256,393.2691,393.42,393.25,393.34,174953,1616512680000
257,393.3412,393.4,393.3,393.315,115916,1616512740000
258,393.31,393.32,393.19,393.24,82119,1616512800000
259,393.245,393.29,393.04,393.09,125860,1616512860000
260,393.095,393.12,393.0201,393.08,78233,1616512920000
261,393.085,393.19,393.07,393.12,126437,1616512980000
262,393.12,393.34,393.1,393.3,65401,1616513040000
263,393.31,393.4,393.29,393.39,70020,1616513100000
264,393.38,393.38,393.21,393.305,103668,1616513160000
265,393.31,393.35,393.21,393.33,82945,1616513220000
266,393.32,393.35,393.209,393.255,89175,1616513280000
267,393.26,393.33,393.24,393.3189,54195,1616513340000
268,393.32,393.4,393.25,393.32,72455,1616513400000
269,393.36,393.46,393.22,393.255,102073,1616513460000
270,393.25,393.36,393.22,393.275,89158,1616513520000
271,393.265,393.3,393.065,393.0786,150027,1616513580000
272,393.075,393.13,393.005,393.09,139147,1616513640000
273,393.1,393.2,393.08,393.1281,78741,1616513700000
274,393.12,393.17,392.95,393.005,102385,1616513760000
275,392.991,393.02,392.88,392.8981,88989,1616513820000
276,392.9,392.9,392.765,392.83,105302,1616513880000
277,392.83,392.83,392.66,392.72,201581,1616513940000
278,392.74,392.79,392.67,392.7008,84548,1616514000000
279,392.7,392.76,392.64,392.71,90052,1616514060000
280,392.71,392.75,392.49,392.59,285355,1616514120000
281,392.58,392.68,392.55,392.63,89007,1616514180000
282,392.61,392.69,392.595,392.65,88846,1616514240000
283,392.64,392.74,392.59,392.735,103196,1616514300000
284,392.74,392.879,392.72,392.8781,107285,1616514360000
285,392.875,392.88,392.76,392.775,95417,1616514420000
286,392.78,392.78,392.64,392.71,87652,1616514480000
287,392.71,392.72,392.6,392.68,78343,1616514540000
288,392.7,392.76,392.54,392.61,185359,1616514600000
289,392.615,392.615,392.47,392.545,210962,1616514660000
